ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-13,LONG,93449.99,+2.2R,2026-01-13
TR-10001,2026-01-13,LONG,94226.84,+2.2R,2026-01-13
TR-10002,2025-12-23,SHORT,87574.79,-1.0R,2025-12-26
TR-10003,2025-12-18,SHORT,84483.79,-1.0R,2025-12-19
TR-10004,2025-12-15,SHORT,87033.22,+2.2R,2025-12-15
TR-10005,2025-11-20,SHORT,86921.28,+2.2R,2025-11-21
TR-10006,2025-11-18,SHORT,90842.72,-1.0R,2025-11-18
TR-10007,2025-11-17,SHORT,91678.93,-1.0R,2025-11-18
TR-10008,2025-11-14,SHORT,97151.98,+2.2R,2025-11-16
TR-10009,2025-11-13,SHORT,98682.14,+2.2R,2025-11-14
TR-10010,2025-11-12,SHORT,101297.31,-1.0R,2025-11-13
TR-10011,2025-11-04,SHORT,104490.72,+2.2R,2025-11-04
TR-10012,2025-10-26,LONG,113286.09,+2.2R,2025-10-26
TR-10013,2025-10-26,LONG,113694.97,+2.2R,2025-10-26
TR-10014,2025-10-16,SHORT,108549.21,+2.2R,2025-10-17
TR-10015,2025-10-16,SHORT,108197.66,+2.2R,2025-10-17
TR-10016,2025-10-10,SHORT,116661.50,+2.2R,2025-10-10
TR-10017,2025-09-25,SHORT,109360.00,-1.0R,2025-09-28
TR-10018,2025-09-18,LONG,117581.66,-1.0R,2025-09-19
TR-10019,2025-09-17,LONG,117162.48,-1.0R,2025-09-17
TR-10020,2025-09-16,LONG,116800.12,-1.0R,2025-09-17
TR-10021,2025-09-11,LONG,114400.01,+2.2R,2025-09-12
TR-10022,2025-09-10,LONG,113853.99,+2.2R,2025-09-12
TR-10023,2025-08-29,SHORT,108386.23,-1.0R,2025-09-02
TR-10024,2025-08-25,SHORT,110111.98,-1.0R,2025-08-26
TR-10025,2025-08-22,LONG,116370.75,-1.0R,2025-08-23
TR-10026,2025-08-21,SHORT,112193.71,-1.0R,2025-08-22
TR-10027,2025-08-19,SHORT,113786.38,-1.0R,2025-08-22
TR-10028,2025-08-18,SHORT,115319.00,-1.0R,2025-08-18
TR-10029,2025-08-13,LONG,122744.21,-1.0R,2025-08-14
TR-10030,2025-08-13,LONG,123306.43,-1.0R,2025-08-14
