ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-25,LONG,870.64,-1.0R,2026-01-25
TR-10001,2026-01-25,LONG,858.86,+2.2R,2026-01-26
TR-10002,2026-01-24,LONG,887.70,-1.0R,2026-01-25
TR-10003,2026-01-19,LONG,918.88,-1.0R,2026-01-20
TR-10004,2026-01-19,LONG,919.86,-1.0R,2026-01-20
TR-10005,2026-01-17,SHORT,955.37,+2.2R,2026-01-18
TR-10006,2026-01-13,SHORT,916.47,-1.0R,2026-01-13
TR-10007,2026-01-13,SHORT,919.95,-1.0R,2026-01-13
TR-10008,2026-01-13,SHORT,939.50,-1.0R,2026-01-13
TR-10009,2026-01-13,SHORT,941.50,-1.0R,2026-01-13
TR-10010,2026-01-10,SHORT,907.31,-1.0R,2026-01-10
TR-10011,2026-01-08,LONG,880.42,+2.2R,2026-01-09
TR-10012,2026-01-04,SHORT,888.81,-1.0R,2026-01-04
TR-10013,2026-01-04,SHORT,897.30,-1.0R,2026-01-05
TR-10014,2026-01-04,SHORT,900.90,-1.0R,2026-01-05
TR-10015,2026-01-02,SHORT,886.51,-1.0R,2026-01-04
TR-10016,2025-12-30,SHORT,862.62,-1.0R,2025-12-31
TR-10017,2025-12-28,SHORT,854.60,-1.0R,2025-12-28
TR-10018,2025-12-28,SHORT,855.54,-1.0R,2025-12-28
TR-10019,2025-12-28,SHORT,858.05,-1.0R,2025-12-28
TR-10020,2025-12-25,LONG,836.75,+2.2R,2025-12-25
TR-10021,2025-12-23,LONG,840.78,-1.0R,2025-12-25
TR-10022,2025-12-21,LONG,847.67,+2.2R,2025-12-21
TR-10023,2025-12-15,LONG,859.14,-1.0R,2025-12-15
TR-10024,2025-12-15,LONG,852.22,-1.0R,2025-12-15
TR-10025,2025-12-15,LONG,844.54,-1.0R,2025-12-17
TR-10026,2025-12-11,SHORT,888.42,-1.0R,2025-12-13
TR-10027,2025-12-09,SHORT,923.02,+2.2R,2025-12-10
TR-10028,2025-12-07,LONG,873.66,+2.2R,2025-12-07
TR-10029,2025-12-03,SHORT,916.61,+2.2R,2025-12-04
TR-10030,2025-12-02,SHORT,859.59,-1.0R,2025-12-02
TR-10031,2025-12-02,SHORT,871.40,-1.0R,2025-12-02
TR-10032,2025-12-01,LONG,834.50,-1.0R,2025-12-01
TR-10033,2025-11-30,SHORT,896.45,+2.2R,2025-11-30
TR-10034,2025-11-30,SHORT,893.91,+2.2R,2025-11-30
TR-10035,2025-11-26,SHORT,888.14,-1.0R,2025-11-27
TR-10036,2025-11-26,SHORT,894.60,-1.0R,2025-11-27
TR-10037,2025-11-21,LONG,812.50,-1.0R,2025-11-21
TR-10038,2025-11-20,LONG,880.15,-1.0R,2025-11-20
TR-10039,2025-11-19,LONG,894.73,-1.0R,2025-11-19
TR-10040,2025-11-19,LONG,887.89,-1.0R,2025-11-19
TR-10041,2025-11-18,SHORT,936.99,+2.2R,2025-11-19
TR-10042,2025-11-13,LONG,931.01,-1.0R,2025-11-13
TR-10043,2025-11-13,LONG,916.92,-1.0R,2025-11-14
TR-10044,2025-11-13,LONG,913.54,-1.0R,2025-11-14
TR-10045,2025-11-09,SHORT,1002.36,-1.0R,2025-11-10
TR-10046,2025-11-03,LONG,1060.60,-1.0R,2025-11-03
TR-10047,2025-11-03,LONG,1043.70,-1.0R,2025-11-03
TR-10048,2025-11-03,LONG,1043.64,-1.0R,2025-11-03
TR-10049,2025-10-28,LONG,1091.34,-1.0R,2025-10-30
TR-10050,2025-10-26,SHORT,1135.28,-1.0R,2025-10-27
TR-10051,2025-10-26,SHORT,1138.19,-1.0R,2025-10-27
TR-10052,2025-10-23,SHORT,1110.20,+2.2R,2025-10-23
TR-10053,2025-10-21,LONG,1063.04,+2.2R,2025-10-21
TR-10054,2025-10-19,SHORT,1120.25,+2.2R,2025-10-20
TR-10055,2025-10-17,LONG,1095.30,-1.0R,2025-10-17
