TraderCopilot - Verified Performance Ledger
===========================================
Strategy: MeanReversion
Asset: BTC
Timeframe: 4h
Period: 2Y
Generated: 2026-01-27T17:35:02.286291Z

SUMMARY STATISTICS (Real Backtest Data - 2Y)
---------------------------------------
Total Trades: 210
Win Rate: 41.0%
Total Net Profit: +65.2 R
Wins: 86 | Losses: 124

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-26  | LONG  | $87282.05  | +2.2R      | 2026-01-26 
TR-10001 | 2026-01-21  | LONG  | $89432.33  | -1.0R      | 2026-01-21 
TR-10002 | 2026-01-20  | LONG  | $91218.99  | -1.0R      | 2026-01-20 
TR-10003 | 2026-01-20  | LONG  | $90684.95  | -1.0R      | 2026-01-20 
TR-10004 | 2026-01-19  | LONG  | $93191.96  | -1.0R      | 2026-01-19 
TR-10005 | 2026-01-19  | LONG  | $93068.62  | -1.0R      | 2026-01-20 
TR-10006 | 2026-01-19  | LONG  | $92631.00  | -1.0R      | 2026-01-20 
TR-10007 | 2026-01-14  | SHORT | $95205.10  | -1.0R      | 2026-01-14 
TR-10008 | 2026-01-14  | SHORT | $97267.42  | +2.2R      | 2026-01-16 
TR-10009 | 2026-01-14  | SHORT | $96951.78  | +2.2R      | 2026-01-16 
TR-10010 | 2026-01-08  | LONG  | $90548.02  | +2.2R      | 2026-01-13 
TR-10011 | 2026-01-08  | LONG  | $90226.77  | +2.2R      | 2026-01-13 
TR-10012 | 2026-01-05  | SHORT | $92520.63  | -1.0R      | 2026-01-05 
TR-10013 | 2026-01-05  | SHORT | $93859.71  | +2.2R      | 2026-01-06 
TR-10014 | 2026-01-04  | SHORT | $91236.78  | -1.0R      | 2026-01-05 
TR-10015 | 2026-01-04  | SHORT | $91532.00  | -1.0R      | 2026-01-05 
TR-10016 | 2026-01-03  | SHORT | $90321.22  | -1.0R      | 2026-01-04 
TR-10017 | 2026-01-03  | SHORT | $89577.13  | -1.0R      | 2026-01-04 
TR-10018 | 2026-01-02  | SHORT | $89995.13  | -1.0R      | 2026-01-04 
TR-10019 | 2025-12-16  | LONG  | $86021.51  | +2.2R      | 2025-12-17 
TR-10020 | 2025-12-14  | LONG  | $89360.00  | -1.0R      | 2025-12-14 
TR-10021 | 2025-12-14  | LONG  | $88172.17  | +2.2R      | 2025-12-15 
TR-10022 | 2025-12-07  | LONG  | $89554.52  | +2.2R      | 2025-12-07 
TR-10023 | 2025-12-06  | LONG  | $89688.35  | -1.0R      | 2025-12-07 
TR-10024 | 2025-12-01  | LONG  | $85024.50  | +2.2R      | 2025-12-02 
TR-10025 | 2025-11-27  | SHORT | $91371.88  | +2.2R      | 2025-12-01 
TR-10026 | 2025-11-24  | SHORT | $88327.29  | -1.0R      | 2025-11-26 
TR-10027 | 2025-11-24  | SHORT | $88300.01  | -1.0R      | 2025-11-26 
TR-10028 | 2025-11-23  | SHORT | $86830.00  | -1.0R      | 2025-11-24 
TR-10029 | 2025-11-21  | LONG  | $82932.47  | +2.2R      | 2025-11-23 
TR-10030 | 2025-11-19  | LONG  | $88884.56  | +2.2R      | 2025-11-20 
TR-10031 | 2025-11-14  | LONG  | $95778.29  | -1.0R      | 2025-11-17 
TR-10032 | 2025-11-14  | LONG  | $94594.00  | -1.0R      | 2025-11-17 
TR-10033 | 2025-11-10  | SHORT | $106176.50 | +2.2R      | 2025-11-11 
TR-10034 | 2025-11-05  | LONG  | $102130.00 | +2.2R      | 2025-11-10 
TR-10035 | 2025-11-04  | LONG  | $104584.76 | -1.0R      | 2025-11-04 
TR-10036 | 2025-11-04  | LONG  | $101497.22 | +2.2R      | 2025-11-09 
TR-10037 | 2025-10-30  | LONG  | $110751.47 | -1.0R      | 2025-10-30 
TR-10038 | 2025-10-30  | LONG  | $108322.88 | -1.0R      | 2025-11-03 
TR-10039 | 2025-10-20  | SHORT | $111144.55 | +2.2R      | 2025-10-21 
TR-10040 | 2025-10-19  | SHORT | $108908.43 | -1.0R      | 2025-10-20 
TR-10041 | 2025-10-17  | LONG  | $106803.53 | +2.2R      | 2025-10-20 
TR-10042 | 2025-10-16  | LONG  | $108194.28 | -1.0R      | 2025-10-17 
TR-10043 | 2025-10-11  | LONG  | $112280.00 | -1.0R      | 2025-10-16 
TR-10044 | 2025-10-05  | SHORT | $123776.22 | -1.0R      | 2025-10-05 
TR-10045 | 2025-10-03  | SHORT | $122660.99 | -1.0R      | 2025-10-05 
TR-10046 | 2025-10-02  | SHORT | $118733.99 | -1.0R      | 2025-10-02 
TR-10047 | 2025-10-01  | SHORT | $117439.53 | -1.0R      | 2025-10-02 
TR-10048 | 2025-09-29  | SHORT | $112100.00 | -1.0R      | 2025-09-29 
TR-10049 | 2025-09-23  | LONG  | $112339.99 | -1.0R      | 2025-09-24 
TR-10050 | 2025-09-22  | LONG  | $112650.99 | -1.0R      | 2025-09-23 
TR-10051 | 2025-09-12  | SHORT | $115194.14 | -1.0R      | 2025-09-12 
TR-10052 | 2025-09-08  | SHORT | $112065.23 | -1.0R      | 2025-09-09 
TR-10053 | 2025-09-03  | SHORT | $112222.74 | +2.2R      | 2025-09-04 
TR-10054 | 2025-08-26  | LONG  | $109879.56 | +2.2R      | 2025-08-28 
TR-10055 | 2025-08-25  | LONG  | $111511.55 | -1.0R      | 2025-08-25 
TR-10056 | 2025-08-25  | LONG  | $111214.97 | -1.0R      | 2025-08-25 
TR-10057 | 2025-08-25  | LONG  | $112200.64 | -1.0R      | 2025-08-25 
TR-10058 | 2025-08-25  | LONG  | $110111.98 | +2.2R      | 2025-08-28 
TR-10059 | 2025-08-14  | SHORT | $123337.14 | +2.2R      | 2025-08-14 
TR-10060 | 2025-08-11  | SHORT | $120561.54 | +2.2R      | 2025-08-11 
TR-10061 | 2025-07-18  | SHORT | $120223.09 | +2.2R      | 2025-07-18 
TR-10062 | 2025-07-17  | SHORT | $119177.56 | +2.2R      | 2025-07-22 
TR-10063 | 2025-07-14  | SHORT | $121467.24 | +2.2R      | 2025-07-14 
TR-10064 | 2025-07-11  | SHORT | $117821.91 | -1.0R      | 2025-07-14 
TR-10065 | 2025-07-10  | SHORT | $111074.51 | -1.0R      | 2025-07-10 
TR-10066 | 2025-07-07  | SHORT | $109389.47 | +2.2R      | 2025-07-07 
TR-10067 | 2025-06-13  | LONG  | $104895.00 | +2.2R      | 2025-06-16 
TR-10068 | 2025-06-06  | LONG  | $102493.30 | +2.2R      | 2025-06-06 
TR-10069 | 2025-05-30  | LONG  | $106024.33 | -1.0R      | 2025-05-30 
TR-10070 | 2025-05-30  | LONG  | $105028.02 | -1.0R      | 2025-05-31 
TR-10071 | 2025-05-22  | SHORT | $111045.45 | +2.2R      | 2025-05-23 
TR-10072 | 2025-05-21  | SHORT | $108603.79 | -1.0R      | 2025-05-22 
TR-10073 | 2025-05-09  | SHORT | $102451.04 | -1.0R      | 2025-05-10 
TR-10074 | 2025-05-09  | SHORT | $103628.77 | -1.0R      | 2025-05-12 
TR-10075 | 2025-05-08  | SHORT | $99409.14  | -1.0R      | 2025-05-08 
TR-10076 | 2025-05-05  | LONG  | $94761.91  | -1.0R      | 2025-05-05 
TR-10077 | 2025-05-05  | LONG  | $94038.18  | +2.2R      | 2025-05-06 
TR-10078 | 2025-04-23  | SHORT | $93168.91  | -1.0R      | 2025-04-25 
TR-10079 | 2025-04-22  | SHORT | $88157.55  | -1.0R      | 2025-04-22 
TR-10080 | 2025-04-07  | LONG  | $76685.62  | +2.2R      | 2025-04-07 
TR-10081 | 2025-03-29  | LONG  | $82758.40  | +2.2R      | 2025-04-01 
TR-10082 | 2025-03-24  | SHORT | $88222.00  | +2.2R      | 2025-03-25 
TR-10083 | 2025-03-11  | LONG  | $79522.29  | +2.2R      | 2025-03-12 
TR-10084 | 2025-03-10  | LONG  | $82047.49  | -1.0R      | 2025-03-10 
TR-10085 | 2025-03-10  | LONG  | $80043.85  | -1.0R      | 2025-03-10 
TR-10086 | 2025-03-10  | LONG  | $78595.86  | +2.2R      | 2025-03-11 
TR-10087 | 2025-03-03  | SHORT | $92709.98  | +2.2R      | 2025-03-03 
TR-10088 | 2025-02-28  | LONG  | $80513.38  | +2.2R      | 2025-03-01 
TR-10089 | 2025-02-26  | LONG  | $83856.99  | -1.0R      | 2025-02-28 
TR-10090 | 2025-02-26  | LONG  | $84250.09  | -1.0R      | 2025-02-28 
TR-10091 | 2025-02-25  | LONG  | $87947.25  | -1.0R      | 2025-02-26 
TR-10092 | 2025-02-21  | SHORT | $98104.04  | +2.2R      | 2025-02-21 
TR-10093 | 2025-02-17  | LONG  | $95531.36  | -1.0R      | 2025-02-18 
TR-10094 | 2025-02-03  | LONG  | $95333.01  | +2.2R      | 2025-02-03 
TR-10095 | 2025-02-02  | LONG  | $99643.30  | -1.0R      | 2025-02-02 
TR-10096 | 2025-02-02  | LONG  | $98273.16  | -1.0R      | 2025-02-03 
TR-10097 | 2025-02-02  | LONG  | $97700.59  | -1.0R      | 2025-02-03 
TR-10098 | 2025-02-01  | LONG  | $100635.65 | -1.0R      | 2025-02-02 
TR-10099 | 2025-01-27  | LONG  | $99700.02  | +2.2R      | 2025-01-28 
TR-10100 | 2025-01-17  | SHORT | $101051.73 | -1.0R      | 2025-01-17 
TR-10101 | 2025-01-15  | SHORT | $98992.42  | -1.0R      | 2025-01-17 
TR-10102 | 2025-01-15  | SHORT | $99844.90  | -1.0R      | 2025-01-17 
TR-10103 | 2025-01-07  | SHORT | $101708.08 | +2.2R      | 2025-01-07 
TR-10104 | 2025-01-03  | SHORT | $98592.01  | -1.0R      | 2025-01-06 
TR-10105 | 2025-01-02  | SHORT | $96455.01  | -1.0R      | 2025-01-03 
TR-10106 | 2024-12-29  | LONG  | $93612.89  | -1.0R      | 2024-12-30 
TR-10107 | 2024-12-23  | LONG  | $93250.37  | +2.2R      | 2024-12-24 
