ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-25,LONG,88300.01,-1.0R,2026-01-25
TR-10001,2026-01-25,LONG,87420.01,-1.0R,2026-01-25
TR-10002,2026-01-25,LONG,86495.16,+2.2R,2026-01-26
TR-10003,2026-01-22,LONG,89000.01,+2.2R,2026-01-22
TR-10004,2026-01-20,LONG,91624.18,-1.0R,2026-01-20
TR-10005,2026-01-20,LONG,90929.98,-1.0R,2026-01-20
TR-10006,2026-01-19,LONG,92711.02,-1.0R,2026-01-20
TR-10007,2026-01-19,LONG,92586.65,-1.0R,2026-01-20
TR-10008,2026-01-18,LONG,93673.14,-1.0R,2026-01-19
TR-10009,2026-01-16,LONG,94585.98,+2.2R,2026-01-16
TR-10010,2026-01-14,SHORT,97293.24,+2.2R,2026-01-15
TR-10011,2026-01-13,SHORT,93449.99,-1.0R,2026-01-13
TR-10012,2026-01-13,SHORT,95757.21,-1.0R,2026-01-14
TR-10013,2026-01-12,SHORT,92203.56,+2.2R,2026-01-12
TR-10014,2026-01-11,SHORT,91127.16,+2.2R,2026-01-11
TR-10015,2026-01-08,LONG,89898.01,+2.2R,2026-01-08
TR-10016,2026-01-06,LONG,91589.24,+2.2R,2026-01-06
TR-10017,2026-01-05,SHORT,92967.28,-1.0R,2026-01-05
TR-10018,2026-01-05,SHORT,93033.11,-1.0R,2026-01-05
TR-10019,2026-01-04,SHORT,91341.47,-1.0R,2026-01-04
TR-10020,2026-01-02,SHORT,90376.05,-1.0R,2026-01-04
TR-10021,2025-12-30,SHORT,88875.83,+2.2R,2025-12-31
TR-10022,2025-12-29,SHORT,89163.25,-1.0R,2025-12-29
TR-10023,2025-12-29,SHORT,90123.55,+2.2R,2025-12-29
TR-10024,2025-12-29,SHORT,90143.06,+2.2R,2025-12-29
TR-10025,2025-12-22,SHORT,89829.60,-1.0R,2025-12-22
TR-10026,2025-12-18,SHORT,88851.70,+2.2R,2025-12-18
TR-10027,2025-12-17,SHORT,89675.85,+2.2R,2025-12-17
TR-10028,2025-12-16,SHORT,87977.43,+2.2R,2025-12-17
TR-10029,2025-12-15,LONG,87033.22,-1.0R,2025-12-15
TR-10030,2025-12-15,LONG,86400.01,-1.0R,2025-12-15
TR-10031,2025-12-15,LONG,85762.87,+2.2R,2025-12-17
TR-10032,2025-12-14,LONG,89360.00,-1.0R,2025-12-14
TR-10033,2025-12-14,LONG,89431.65,-1.0R,2025-12-14
TR-10034,2025-12-12,LONG,89935.14,-1.0R,2025-12-14
TR-10035,2025-12-12,LONG,90046.54,-1.0R,2025-12-14
TR-10036,2025-12-11,LONG,90074.00,+2.2R,2025-12-11
TR-10037,2025-12-11,SHORT,91792.99,-1.0R,2025-12-11
TR-10038,2025-12-11,SHORT,92858.39,+2.2R,2025-12-12
TR-10039,2025-12-09,SHORT,92707.51,-1.0R,2025-12-09
TR-10040,2025-12-09,SHORT,94187.81,+2.2R,2025-12-11
TR-10041,2025-12-05,LONG,90465.14,-1.0R,2025-12-05
TR-10042,2025-12-05,LONG,88810.89,+2.2R,2025-12-07
TR-10043,2025-12-02,SHORT,89271.99,-1.0R,2025-12-02
TR-10044,2025-12-02,SHORT,90850.01,-1.0R,2025-12-02
TR-10045,2025-12-02,SHORT,90759.15,-1.0R,2025-12-02
TR-10046,2025-12-01,LONG,87000.00,-1.0R,2025-12-01
TR-10047,2025-12-01,LONG,87168.91,-1.0R,2025-12-01
TR-10048,2025-11-30,SHORT,91769.99,+2.2R,2025-11-30
TR-10049,2025-11-26,SHORT,89830.79,-1.0R,2025-11-27
TR-10050,2025-11-26,SHORT,90145.69,-1.0R,2025-11-27
TR-10051,2025-11-23,SHORT,85879.83,-1.0R,2025-11-23
TR-10052,2025-11-20,LONG,87878.10,-1.0R,2025-11-20
TR-10053,2025-11-20,LONG,87233.81,-1.0R,2025-11-21
TR-10054,2025-11-20,LONG,86486.27,-1.0R,2025-11-21
TR-10055,2025-11-17,LONG,92767.49,-1.0R,2025-11-17
TR-10056,2025-11-17,LONG,91678.93,-1.0R,2025-11-18
TR-10057,2025-11-16,LONG,94224.47,-1.0R,2025-11-16
TR-10058,2025-11-13,LONG,98591.78,-1.0R,2025-11-14
TR-10059,2025-11-12,SHORT,104899.99,+2.2R,2025-11-12
TR-10060,2025-11-09,SHORT,103762.17,-1.0R,2025-11-09
TR-10061,2025-11-07,LONG,99638.28,+2.2R,2025-11-07
TR-10062,2025-11-03,LONG,109033.83,-1.0R,2025-11-03
TR-10063,2025-11-03,LONG,107937.45,-1.0R,2025-11-03
TR-10064,2025-10-26,SHORT,112528.83,-1.0R,2025-10-26
TR-10065,2025-10-26,SHORT,112477.10,-1.0R,2025-10-26
TR-10066,2025-10-26,SHORT,113286.09,-1.0R,2025-10-26
TR-10067,2025-10-26,SHORT,113575.05,-1.0R,2025-10-26
TR-10068,2025-10-23,SHORT,110246.94,-1.0R,2025-10-23
TR-10069,2025-10-21,LONG,109059.22,-1.0R,2025-10-21
TR-10070,2025-10-21,LONG,107779.70,+2.2R,2025-10-21
TR-10071,2025-10-21,LONG,107537.12,+2.2R,2025-10-21
TR-10072,2025-10-17,LONG,104884.38,-1.0R,2025-10-17
TR-10073,2025-10-16,LONG,108549.21,-1.0R,2025-10-17
TR-10074,2025-10-12,SHORT,114069.35,-1.0R,2025-10-12
TR-10075,2025-10-10,LONG,119018.98,-1.0R,2025-10-10
TR-10076,2025-10-10,LONG,118205.61,-1.0R,2025-10-10
TR-10077,2025-10-10,LONG,117623.80,-1.0R,2025-10-10
TR-10078,2025-10-10,LONG,114266.82,-1.0R,2025-10-10
TR-10079,2025-10-08,SHORT,124033.19,+2.2R,2025-10-09
TR-10080,2025-10-07,LONG,122725.36,-1.0R,2025-10-07
TR-10081,2025-10-07,LONG,121846.01,-1.0R,2025-10-07
TR-10082,2025-10-05,SHORT,124031.44,-1.0R,2025-10-05
TR-10083,2025-10-05,SHORT,125172.81,+2.2R,2025-10-05
TR-10084,2025-10-03,SHORT,122258.05,-1.0R,2025-10-03
TR-10085,2025-10-03,SHORT,122553.30,-1.0R,2025-10-05
TR-10086,2025-10-01,SHORT,116111.28,-1.0R,2025-10-01
TR-10087,2025-10-01,SHORT,116412.10,-1.0R,2025-10-01
TR-10088,2025-09-30,LONG,112781.97,+2.2R,2025-09-30
TR-10089,2025-09-29,SHORT,114033.53,-1.0R,2025-09-30
TR-10090,2025-09-28,SHORT,110037.93,-1.0R,2025-09-28
TR-10091,2025-09-28,SHORT,110222.02,-1.0R,2025-09-28
TR-10092,2025-09-28,SHORT,111938.51,-1.0R,2025-09-29
TR-10093,2025-09-28,SHORT,112163.95,-1.0R,2025-09-29
TR-10094,2025-09-25,LONG,111735.66,-1.0R,2025-09-25
TR-10095,2025-09-25,LONG,108833.63,+2.2R,2025-09-28
TR-10096,2025-09-22,LONG,114407.28,-1.0R,2025-09-22
TR-10097,2025-09-22,LONG,114273.45,-1.0R,2025-09-22
TR-10098,2025-09-22,LONG,112800.77,-1.0R,2025-09-22
